# time|file|volume — align each cue to the START of its visual (see references/audio.md)
1.00|impactSoft_medium_001.ogg|0.8
2.70|card-slide-1.ogg|0.55
3.60|chips-stack-1.ogg|0.7
5.03|drop_001.ogg|0.6
6.03|drop_002.ogg|0.6
8.28|click2.ogg|0.75
9.68|click2.ogg|0.75
10.00|keypress-003.wav|0.55
10.32|keypress-007.wav|0.55
10.64|keypress-012.wav|0.55
10.96|keypress-018.wav|0.55
11.28|keypress-025.wav|0.55
12.08|click2.ogg|0.75
12.52|chips-collide-1.ogg|0.75
14.38|click2.ogg|0.75
17.52|chip-lay-1.ogg|0.8
27.02|impactBell_heavy_000.ogg|0.7
